,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL32704,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCCc1ccccc1,active,824.9799999999999,2.7491000000000065,4.0,10.0,6.2839966563652006
1,CHEMBL33248,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCc1ccccc1,active,810.953,2.706600000000006,4.0,10.0,6.657577319177793
2,CHEMBL285069,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)N[C@@H](C)c1ccccc1,active,824.98,3.267600000000006,4.0,10.0,6.657577319177793
3,CHEMBL286124,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC1CC1,active,760.8929999999999,1.6688000000000052,4.0,10.0,6.376750709602099
4,CHEMBL285686,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)c1ccccc1,active,781.9110000000001,3.273100000000004,3.0,10.0,7.585026652029182
5,CHEMBL284771,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)N[C@@H](C)C(=O)c1cccc2ccccc12,active,903.05,3.9310000000000063,4.0,11.0,6.1249387366083
6,CHEMBL423300,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC(C)C(=O)O,active,792.8910000000001,0.9795000000000067,5.0,11.0,6.886056647693163
7,CHEMBL285260,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCC(=O)O,active,778.864,0.5910000000000071,5.0,11.0,7.431798275933005
8,CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,4.00436480540245
9,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,4.161150909262744
10,CHEMBL326331,CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.346787486224656
11,CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.568636235841013
12,CHEMBL115136,CC[C@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,3.3979400086720375
13,CHEMBL419930,CC[C@@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.522878745280337
14,CHEMBL2370184,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(=O)NCc1ccccc1,active,815.9219999999999,-0.24159999999999404,8.0,10.0,6.1938200260161125
15,CHEMBL2370173,CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(N)=O,inactive,697.7869999999999,-1.6417999999999937,8.0,9.0,3.0
16,CHEMBL1790295,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C,inactive,670.7170000000002,-1.8226999999999935,8.0,9.0,3.1249387366083
17,CHEMBL2311162,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(F)(F)F,inactive,750.7690000000001,0.0043000000000101846,7.0,9.0,3.795880017344075
18,CHEMBL2370191,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(F)(F)C(F)(F)F,inactive,800.7760000000002,0.6396000000000106,7.0,9.0,4.102372908709558
19,CHEMBL2370188,CCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,inactive,712.7980000000001,-0.6523999999999914,8.0,9.0,3.3010299956639813
20,CHEMBL2370189,CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NCc1ccccc1,inactive,787.9119999999999,0.18930000000000713,8.0,9.0,4.2839966563652006
21,CHEMBL2370177,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,inactive,712.7980000000001,-0.7964999999999902,8.0,9.0,3.1079053973095196
22,CHEMBL2370192,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(F)(F)C(F)(F)F,inactive,800.7760000000002,0.6396000000000106,7.0,9.0,4.920818753952375
